ï»¿Run_DateTime,Date,UTC_Date,TempA,TempM,DewPointA,DewPointM,Humidity,WindSpeedA,WindSpeedM,WindGustA,WindGustM,WindDir,VisibilityA,VisibilityM,PressureA,PressureM,WindChillA,WindChillM,HeatIndexA,HeatIndexM,PrecipA,PrecipM,Condition,Fog,Rain,Snow,Hail,Thunder,Tornado
13:26.1,51:00.0,51:00.0,33.1,0.6,9,-12.8,37,8.1,13,-9999,-9999,300,10,16.1,30.14,1020.6,26.1,-3.3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,34,1.1,10.9,-11.7,38,9.2,14.8,19.6,31.5,290,10,16.1,30.13,1020.1,26.6,-3,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,35.1,1.7,10.9,-11.7,37,6.9,11.1,-9999,-9999,0,10,16.1,30.11,1019.4,29.3,-1.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,35.1,1.7,10.9,-11.7,37,10.4,16.7,16.1,25.9,270,10,16.1,30.11,1019.5,27.4,-2.6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,35.1,1.7,12,-11.1,39,5.8,9.3,17.3,27.8,0,10,16.1,30.12,1019.8,30.1,-1.1,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,34,1.1,12.9,-10.6,42,5.8,9.3,-9999,-9999,0,10,16.1,30.12,1019.9,28.8,-1.8,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,33.1,0.6,12.9,-10.6,43,9.2,14.8,-9999,-9999,290,10,16.1,30.14,1020.5,25.5,-3.6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,33.1,0.6,12.9,-10.6,43,4.6,7.4,16.1,25.9,0,10,16.1,30.16,1021.3,28.7,-1.8,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,12.9,-10.6,45,8.1,13,-9999,-9999,300,10,16.1,30.16,1021.2,24.8,-4,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,12,-11.1,44,6.9,11.1,-9999,-9999,260,10,16.1,30.17,1021.6,25.6,-3.6,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12.9,-10.6,47,3.5,5.6,-9999,-9999,0,10,16.1,30.16,1021.1,27.5,-2.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,12,-11.1,46,3.5,5.6,-9999,-9999,280,10,16.1,30.14,1020.6,27.5,-2.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,12.9,-10.6,45,4.6,7.4,-9999,-9999,240,10,16.1,30.13,1020.3,27.5,-2.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,30.9,-0.6,14,-10,50,5.8,9.3,-9999,-9999,230,10,16.1,30.12,1019.8,25.2,-3.8,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
13:26.1,51:00.0,51:00.0,32,0,12.9,-10.6,45,4.6,7.4,-9999,-9999,0,10,16.1,30.12,1019.9,27.5,-2.5,-9999,-9999,-9999,-9999,Clear,0,0,0,0,0,0
